Page Rank, d=1.00

File: NCAA_football.csv
Read Time:       1061.579ms
Processing Time: 300.504ms
N Iterations:    382

 Rank                        Node     PageRank
  277       East Central Oklahoma 0.000000e+00
  278               Indiana State 0.000000e+00
  279               Johnson Smith 0.000000e+00
  280              Western Oregon 0.000000e+00
  281                  Upper Iowa 0.000000e+00
  282               Texas College 0.000000e+00
  283        Webber International 0.000000e+00
  284            St. Francis (PA) 0.000000e+00
  285             Delaware Valley 0.000000e+00
  286  Southern Connecticut State 0.000000e+00
  287                      Albion 0.000000e+00
  288             Bentley College 0.000000e+00
  289                    Tusculum 0.000000e+00
  290                    Benedict 0.000000e+00
  291        New Mexico Highlands 0.000000e+00
  292                West Chester 0.000000e+00
  293             Montana-Western 0.000000e+00
  294             Glenville State 0.000000e+00
  295   Concordia University (WI) 0.000000e+00
  296                    Faulkner 0.000000e+00
  297         Wisconsin-La Crosse 0.000000e+00
  298                   Merrimack 0.000000e+00
  299                      Quincy 0.000000e+00
  300                 Delta State 0.000000e+00
  301               Azusa Pacific 0.000000e+00
  302           Concordia College 0.000000e+00
  303             Southern Oregon 0.000000e+00
  304                West Georgia 0.000000e+00
  305             Culver-Stockton 0.000000e+00
  306                      Chowan 0.000000e+00
  307                   Dartmouth 0.000000e+00
  308           Kentucky Wesleyan 0.000000e+00
  309                 Dixie State 0.000000e+00
  310                        Shaw 0.000000e+00
  311                Lenoir-Rhyne 0.000000e+00
  312                William Penn 0.000000e+00
  313             St. Cloud State 0.000000e+00
  314                Lincoln (MO) 0.000000e+00
  315               Central State 0.000000e+00
  316                  Washington 0.000000e+00
  317              Humboldt State 0.000000e+00
  318                 St. Ambrose 0.000000e+00
  319       Cumberland University 0.000000e+00
  320         Birmingham Southern 0.000000e+00
  321            Baker University 0.000000e+00
  322                    Stillman 0.000000e+00
  323                   Methodist 0.000000e+00
  324                 Livingstone 0.000000e+00
